"","gc_barrier","private_goals","challenge","fear","rewarding","retention","more_accessibility","comments"
"11","Usually not worth it for followers as a lot of the classes are pattern based and not followers technique","To improve and progress further than intermediate level as most classes doesn't go further. Be more comfortable and confident in social dancing","Balance especially in head movements","Rough leads that hurt me","Beautiful human connection","The feeling of love it creates in my heart and soul","It's just not an easy dance but the rewards are bigger than any other dance and if they knew that or could get to experience that earlier maybe more would stay to make the effort. More focus on partner connection from the start rather than just patterns.","In general I wish more classes and workshops would teach the leads about gauging comfort of the follower and the importance on being gentle. There's always a discussion amongst followers on rough leads and who to avoid and it's just sad and it makes it always a risk for the follower to attend socials. But this topic is rarely discussed and there's rarely a natural way for followers to give this feedback to the leads."
"12","Cost","Feedback and advance progression","Becoming a beginner again. Learning upper body movements unique to Zouk.","Performance and Rejection. My partner not having fun and enjoying dancing with me.","Dance cuddles. Making my dance partner have a great time and being able to relax and enjoy dancing together.","The community. The music. The connection.","More awareness. More comfort with the closeness of the style.",NA
"13","I don't like the instructors/classes in my area","To improve in head movement.",NA,"I don’t really have much fear with zouk but I guess accidentally injuring the leader.","The musicality and creativity","The music, the creativity, the challenge of learning and getting better.","More help learning the vocabulary","For easier classes as a follow, I would prefer longer patterns so I have more chances to practice and differentiate moves from other moves. For advanced classes I prefer one move or a few similar-feeling moves, but not a pattern. As a lead, I would struggle with remembering the patterns so I would prefer more opportunities to lead the moves in any order."
"14","Energy and time constraints","Get better quicker","Basics","Snobby follows","Flow and happiness","Beauty","Free beginner lesson","What is creepiness?"
"15",NA,NA,"Availability of classes and musical timing","Not being able to follow what is expected.","The diversity in the dance and the connection with people.","It just always feels good to express yourself with different people and songs. It is never dull.","More classes and socials more variety in teachers",NA
"16","Cost","Pesonalized instruction and to correct wrong moves","Discomfort with sensual leads who are older and/or leads who have poor hygiene","Head movements","Connecting authentically with a partner and enjoying the music as one","Getting better and feeling motivated to practice","Including zouk in mainstream and established SBK socials - why does zouk always have to be in silo?","I love zouk."
"17","Day of the week","Get better with nuance",NA,NA,NA,NA,NA,NA
"18","There are no classes in my area","Elevate my technique","Learning technique and class availability","Injury","Connection","Friendships, community, pleasure","Availability of instruction, cost",NA
"19","Cost",NA,"Tilted turns",NA,"Connection","Friendly atmosphere",NA,NA
"20","Time of day","Improve my social dance skill and my showcase performances","The flowy, wavy and wide range of body motion","Hurting a dance partner","Having a good time with my dance partner with a good connection and musicality","The human connection","Having more exposure in the dance scene and having more social dance outlets in a city.","What challenges came across from a dancer with multiple disciplinary skills or from different dances? (E.g. ; an athlete, an Olympic speed climber, figure skater, ballroom dancer, or a former Salsa competitor.)"
"21",NA,"Learn a few specific technique/movement to prevent injury","Head movements","Head movements","Connection","Connection","More mixed socials and people dancing other dances get to see what zouk is like",NA
"22","Cost","Improve quickly","Its way harder compared to bachata or salsa","Being boring or bored","The feels","The feels","Better teachers",NA
"23","Time of day","Technical improvement","Time, cost","Not being a good enough follow. That I will bore my leader","Flow","It feels good","The community expectations/ agreements/culture",NA
"24",NA,"Unlearn bad technique","I felt the dance was natural. But I learned bad habits (leading with arms)","Getting sick and getting my family sick as a result","Connection","I need to be touched and to connect with friends","Good dances with advanced dancers",NA
"25","Time of day","To improve technique","Bodily awareness","Injuring my partner","Connection with partner/community","Leader Follower ratio, sometimes I feel iced out by other followers (female)","Ice breakers at the beginning of classes/practicas; at practicas and classes attendees openly stating what they want to improve and work on",NA
"26","There are no classes in my area","Improve basic technique","Technique","Not fear, but the cliquiness is real and brings down my vibe. Some people truly never give newcomers a chance, and it’s tough to ask them since they’re always dancing","Infinite learning; feels great!","Love the music, creativity, learning","Cost, mix of technique & styling classes, less focus on the hippie stuff- we can have connection without it being a big holier than thou song & dance (no pun intended)","Thank you, please share your findings with the zouk nerds!"
"27","Time of day","Jnjs, become more comfortable, enhance styling, enhance connection","Lack of awareness of multiple zouk styles with teachers. Many teachers can't reconcile differences in instruction from different styles of zouk bc they only know their way. As such I won't be taking privates from them! I want to learn from someone or who is socially aware of what is going on in the zouk world.","Dancing with someone who is judgmental or who has body odor or bad breath.","Playfulness and exploration.","Playfulness and exploration.","A shift in attitude about correctness of movements. There is a strong sense of right and wrong out there and it is killing people's egos. It is not about that. It is about safety and consent. The most important thing in any dance is attitude, having fun! I will take that over dancing with a solemn pro any day. So we should really focus on that over getting technique right. That would be way more enjoyable for beginners and way more accurate to the importance of dance.","You need to rethink some of the assumptions made in this survey. In particular you have really heaped styles of classes in to buckets that don't really make practical sense. Like pattern focus vs harder concept? That is so random. To be clear, I prefer lab classes. I want to be given a concept or structure to work with then have at it. I want to be free to switch at will and reach out to the teacher for specific feedback when needed. They can give us a few activities but i have found in my 9 years that i get the most info in this format. The way you are suggesting is antiquated. Common, but antiquated nonetheless. Like we can go over a ""pattern"" but that just seems like a superficial term. It is really about building structures and foundations that make you a good dancers. The conceptualization of a pattern is a beginner way of thinking. So you may want to consider experience level in your class formats. I understand you had general concepts as a category but both of these buckets are too vague. It doesnt really get to the core of good teaching because you kinda need both. Further, many studies have been published to show that ""learning styles"" is a false concept. Ultimately expertise causes the same areas in the brain to fire on brain scans. So I would throw that question out and change it to what makes instruction the most effective. The answer honestly is demoing the movement, then walking through each piece together step by step. No glossing over stuff. So where is the body at each step in the movement. Then gradually speed it up. That is is all it takes. Also taking some time to clarify the why we do this. Also you are trying to figure out the most important things for events? The quality of artists and the quality of dancers. I could care less about the number. Dance floor quality isn't negotiable. Like yes dancing on the beach is fun but if you are going to teach you need a proper floor for safety reasons. Also who the dj is doesn't matter as much as their behavior. Do they read the crowd. Do they play a variety of music? Honestly a good Playlist is fine if it is put together well. You really could have dove deeper into what makes good music. Dynamic and mellow don't cover the full zouk spectrum. First of all I can't stand the traditional zouk and lambda music and I and definitely not alone. I would pay good money to cut that crap out. I would love to go to an event knowing that wouldn't be there. But on a more technical note it is good to have music with different rhythms to practice the different timings of movements. There are at least 5 variations instead of the standard slow quick quick. It is nice to practice that as am advanced dancer and if djs don't get that I don't want them. Also it is nice to have music with emotional variety. Like some songs sound nice but they sound they come out of a factory machine. Very  forumlaic predictable and redundant and hence less fun. (They can be good for practicing and beginners but not overplayed) But a song with real character a real story arc and change stays interesting. Something more human and less robotic a song where there is a very hugh level of artistic skill that went into it. In summary I think you can reach a lot deeper with your questions and more precisely target what is important. Oh another thing? Did you forget organizers? That is the main thing I look at. I know how much each one cares about people over money and that's who ultimately produces the best events. I can just trust their mindset. More food for thought for you!"
"28","Day of the week","Improve","Unlearning","Hurting another","The musicality","The musicality","The music",NA
"29","Day of the week","To fine tune the small details","Not knowing anyone and having to get out of my comfort zone to meet people","Fear of rejection","When you get in the “flow” state while dancing and experience real connection","That feeling of connection. + the social aspects","Encourage more leads to come to socials",NA
"30",NA,"More targeted information, faster improvement","Overcoming internal confidence issues when it comes to my dance","That a dance won't go well or I might get injured dancing with a rough lead.","Flow state and connection with my partner and the music","The feeling I get when I'm dancing with a partner I like and music is good.","Beginner friendly socials where mostly beginners are there. Maybe some time in classes for social dance to get people used to the idea.",NA
"31","Cost","Accelerated growth, and a better graps on concepts.","The timing and the controlled lead","Not making my partner happy","Enjoying a playful dance and making my partner smile","The community, less ego centered dance, different possibilities in figures while keeping a consistent structure.","A longer time focused on basics with an emphasis on the connection, but also tying that in with community.",NA
"32","I don't like the instructors/classes in my area",NA,"Feeling of flow","Rejection because of age","Feeling of flow","People I meet","Lower claims for new dancers AND community","Social behavior in local community. Like ""who are you asking for a dance?"" What are your preferences? Age, look, experience, hight, size, status of relationship?"
"33",NA,"Improve what my dance felt like for my partners/follows","Living somewhere with ZERO zouk","being ""judged""","Human connection","Co-creation of shared ephemeral art & experience *and* connection ""fix""","More classes on *social* dancing",NA
"34",NA,"learn a different style","feeling awkward and clueless","disappointing follows","music, connection, community","positive feedback","better instruction, more instructors",NA
"35","Cost","Tactical check-in just prior to a festival to connect with the metropolitan teachers/crowd. (I am from a small, regional town and have previously become shy at the metro socials at a festival.)","That it was so little known. Perhaps I would have been doing it earlier had I have known about it. Everyone that I talk to about it have never heard of it prior to me mentioning it.

The only reason I started zouk was because I went in search of salsa classes at the local dance studio and zouk was the genre being taught on my only available night.","Incorrect boneca technique leading to injury. We have so little exposure to it in our small, regional town that it is quite a foreign concept to me.","The connection gained with people. The latin dance scene is such a welcoming community.","The elegance of the genre, the diversity of music, the endless possibilities of movement that are able to generate from a 3-dimensional dance genre, the people and community.","Clear curriculum.","How big is your local scene?
Are you involved in other dance genres?
What roles do you play in your local scene? (eg student, teacher, committee, DJ, organiser, volunteer helper, etc.)"
"36","Day of the week","Improving technique in leading tilted turns.","Timing","Not being able to get good enough.","Watching myself grow as a dancer.","The hugs and the smiles.","Start with basic on the spot",NA
"37","I don't like the instructors/classes in my area",NA,"Switching dance partners a lot","Nobody wanting to dance with me","Connection, flow","Connection, flow, fun, learning new things",NA,NA
"38","There are no classes in my area","Ability to work on concepts too advanced, detailed or niche for group classes","Learning how to dance. I was already accustomed to close embrace and socials from previous dance experience but suddenly it was not enough to just learn step/turn patterns and choreo","No fear as such but my general social anxiety and introverted personality sometimes shine through","Friends, albeit mostly dance friends and not real friends","I like to dance, I like the music. And the teaching makes me a better person (e.g. more empathy, better at reading other people etc.), a better dancer overall, improves posture and body awareness etc.","If we stop telling everybody how difficult it is. All dance styles are difficult if you want to master them but you can go a long way with simple basics.

If we stop mixing spiritual practices with zouk and teach the mix as if that is zouk. Many are uncomfortable with spirituality and run away because they think zouk is about this with Aladdin pants, tantra and hugging for 20 mins straight. Zouk is not this. Zouk is a dance. Just like many other dance styles. Yes, you can add your spiritual practices if you want but that is your personal choice. Not something part of zouk",NA
"39","Time of day",NA,"Finding the right teacher","Fear of not connecting with myself","Connection","Connection and fun","Cost",NA
"40","Day of the week","To complement my current style of dance by understanding the basics of an instructor's style that is different from my own.","Every place to dance it is at least 1 hour away.","At this point, if I go to a social where the music is consistently fast and the floor is bad, it takes away from my ability to relax and connect to my partner. And if I don't have that, it can be difficult to justify taking a night to drive and go dance because it affects my sleep and throws my schedule off.","When there is someone who is equally open, willing to connect, and is quiet enough in their body to match my own sensitivity, that usually leads to the best experiences.","The creativity of the movment and the openness of some follows to connect are really great. Some of my favorite people are members of the community as well.","For local instructors, ensuring that there is some time dedicated to the basics every week is helpful. Promoting the idea that the more experienced dancers show up to these classes will be helpful as well to help guide the beginners would be very beneficial. 

At socials, the more experienced dancers should (should) absolutely dance with beginners to give them a sense of belonging in the community. Even though I have been dancing for a while, I recently went to a social in a different scene than where I usually dance, and one of the instructors made a point of asking me to dance. This made me feel so welcome and also gave us both a very nice opportunity to explore our dance styles. 

However, one of my main frustrations with the community is that there are certain experienced dancers, both in my local community and around the country, that will only dance with experienced dancers. Beginners have mentioned this to me explicitly as off putting because it creates a sense of an ""in"" and ""out"" group.",NA
"41",NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"Get better faster","Lack of instructors in my city","Acceptance","It's a challenging dance with so much versatility","Close connection/embrace","More instructors across the country",NA
"43","Time of day","I wanted to improve my following and work on things I wasn’t able to work on group classes/people in my scene aren’t able to work on currently","It’s a small scene in most cities so there’s not many socials or events. Have to travel to get better.","Hurting my follows. Getting injured as a follow","Seeing my dance partner smiling and having fun","I enjoy the challenge. There is just so much to learn and it’s all so interesting!","While I love long dances, long marathon style dances impede beginners from being able to dance as well.","While I know this would make it difficult to make the respondent anonymous, it would be interesting to ask demographic questions as it’s something I’m quite curious about. 

Examples: 
What city are you from? 
How many regular zouk dancers are in your scene? 
What is the lead/follow/switch ratio in your scene?
What is the age of zouk dancers in your scene? (The range?)
How many people from your scene danced zouk before they entered your scene (came from another city)?
What is the ratio/number of people in various levels?
How many people from your scene compete? 
How many people teach in your scene?
How many people organize events?
How many Weekenders in your scene? How many weekly classes in your scene?
How many people train/practice together?
How often do out of towners come to your city for zouk?
If it’s a local instructor - do they have a dance partner or just various assistants?
How many people in your scene travel for zouk? How many people don’t travel?
What do you do for a living?
Do you travel?
Is your scene growing? 

Also how do people train: (if they train)
How do you like to train? Group practices/one on one?
Do you have multiple training partners or just one?
How do you approach training - do you base it off of what you did in classes/workshops/privates? Or do you watch videos and break them down?
What is the dynamic between the leads and follows in the training relationship? Who proposes things to work on more - the lead or the follow? 

Also zouk beginnings:
How did you find out about zouk?
How did you start dancing zouk?

Other miscellaneous:
Would you ever be interested in teaching? Yes/No why?
Who is your favorite instructor/couple?
How do you like to structure your privates? (Clean me up and work on basics or do you come with topics and questions prepared?)
HAIR CONTACT - how do you feel about someone touching your hair? How do you feel about someone manipulating your hair?
What skill level are you and how often do you attend classes at congresses?"
"44","Cost",NA,NA,NA,NA,NA,NA,NA
"45","Availability of childcare","Focused attention on specific areas","Finding the time and money","Making my partner uncomfortable","Interpersonal connections","The variety, level of challenge, quality of movement, and depth of freedom and creative expression of the dance itself","Having more experienced dancers of any skill level act as “ambassadors” to dance with newcomers at socials so they don’t feel left out or undesirable to dance with. Also more practica time after drop-ins for participants to practice the move(s) repeatedly and gain confidence before a social",NA
"46",NA,"Improve fundamentals, technique.","Understanding how 3 different kinds of head movement fits on top of the patterns and figures","If I don’t lead head movement I’d be a boring lead","Having a connected and musical dance","Other dances don’t have spinal/torso bends","Training individual movement technique",NA
"47","Distance to nearest big zouk scene (60 miles/120-180 min round trip)",NA,"Learning the basics when the only classes were open sequence based classes and before there were online options","Injury","Connected flowy dances","Connected flowy dances :)","Progressive classes with a structured methodology with practicas and socials.","Early question on how many classes per week I do- seems to be referring only to structured. I have access to very few structured classes- most have been open. So I left that blank but 1-2 evenings per week of classes usually. Just don't learn so much :) most actual learning has been the MAC over the past year, online and in person."
"48",NA,"To improve my technique and to give myself a nice gift","dancing close with somebody else and letting them decide what we will do","that I will disappoint my dance partner","getting lost in the music and reaching zen/mindfulness state","getting lost in the music and reaching zen/mindfulness state","It was this way for me: the instructors led us not only through technical aspects but also introduced us to the zouk community, e.g. took us to our first socials, encouraged us to go to zouk events and congresses","<3"
"49",NA,"Unlock greater creativity and cleaner fundamentals.","The money","Being plain, boring, unexciting, unsatisfying. When my follower’s face falls into a thin flat line, I failed completely.","When I feel my follower palpably wants to dance with me - not because I’m one of any leads available - but because they specifically want to dance with me. When I hear them laugh, see them smile, when I go to do some big move and they hold on in a way that tells me they want to keep it small and close. When a follow interrupts whatever I’m doing with their own idea, it’s always so cool that they thought of it and made it happen, that’s so exciting. When they stare me down, when we trade leading and following.

In all, when I feel my partner is invested in me as much as I’m invested in them.","This is a place where, depending on where I’m dancing, I can be an adult but play like a child. 

It’s play. All of it.","Newcomer-oriented socials and classes. Specifically and uncomfortably naming which regulars only dance with their favorites, confronting that elitism.","Last question had a thing: 

- between a longer pattern and a harder concept, this omits a third option: a more nuanced concept. “Hard” can be challenging physically, or very simple physically but mentally subtle. Maybe “engaged” is a better word? 

Thanks for doing the survey! Hope to see the data come to light."
"50","Time of day",NA,"UNlearning mistakes brought in from other dances I know.","Looking dumb or feeling like I’m disappointing my Lead.","The energy!!!!","The community","Classes taught at multi-genre events",NA
"51",NA,NA,"Connection and basic footwork","Getting injured","Connection","Euphoria",NA,"I sometimes give feedback during social dancing because the lead can hurt me (I have chronic pain issues), so I speak up and give a suggestion. Then, the issue goes away after that."
"52","Cost","Finding out what small things I needed to work on","The cliques, lack of socializing, heavy training culture vs hang out culture, the long dance culture","That I'll make someone uncomfortable","Making others feel comfortable and happy while I'm in flow","Connection and expression","I have a whole lot to say about this. There's a phenomenon in the USA, if not more widespread, where a lot of leads are male and either caucasian or asian, and so have not grown up with musicality and body movement in their bodies. Combine that with a culture that does not encourage personal artistic body expression in males and you have lots of leads that don't know how to enjoy a dance with few moves and don't know how to be musical. That means they need to know moves to dance, and follows get bored when leads don't have enough moves. So the follows go to the experienced leads that pushed through the slog of learning musicality and stay dancing with the experienced leads because it may be their only good dance of the night since they don't want to dance with beginner leads. This leads to very long dances at socials that ostracize beginner leads because they are left on the side of the dance floor with no one wanting to dance with them. This leads to them leaving the scene, increasing the number of follows, who can additionally learn more quickly than leads since following is easier than leading until you get to the higher end of novice/intermediate. So there is a huge number gap in beginner leads and follows that then gets exacerbated by the lack of social spaces and social culture in zouk communities that encourage training so that you can get people to actually dance with you. These people that have slogged through then feel entitled to their longer dances (sometimes 1.5 hour dances, which is absolutely ridiculous) and don't give back to the community of beginner dancers at all. Zouk organizers need to cater to new leads to teach them how to be musical in a culture that celebrates personal body artistic expression in women and show them how to have fun and be comfortable with fewer moves so that follows can have fun with them, and follows need to stop being so goddamn stuck up and do their part in making the community a welcoming place so they can get more leads. That needs to be combined with venue spaces that have socialization components where people can build connections outside of the dance itself so that newer leads don't feel like all they have to contribute is their lesser knowledge when they are in fact also people who can be fun to be around, even if they don't know how to dance yet. Don't even get me started on the conflation of ""incorrect"" with ""bad"" and how follows will not dance with leads who can't do something ""right"" or the way ""they want it to be done."" They need to contribute to the dance too, not just expect everything to come from the lead.

For FOLLOWS, they need to be taught how to safely protect themselves in a dance and learn to speak up when a lead is being forceful or hurting them, while the leads need to be taught how to do moves properly and accept advice on making sure their dancing is comfortable. For follows, they also need to learn how and when to deny leads and they also need to be shown that they have a place or people in the community that they can go to when (not if) a male does something untoward, be it something slightly creepy all the way to sexual assault. And women need to speak the hell up. This is a culture that needs to be created from the ground up to welcome people into zouk more easily and make them want to stay, rather than a place that harbors predators.","I'd say go to the many popular zouk nerd threads about safety, zouk timing, community building, move definitions, competition organization and judging, long dance etiquette, conflation of sex and sensuality, intrusion of performance in smaller events, and timeliness/lateness of events"
"53","Time of day","At this point it is solidifying my skills and maintenance of the level I want to be at. In the past it was more of a panic learning situation where I was taking many more privates because I felt bad about my dancing","Understanding the lead/follow dynamic","That I am being judged as a crap dancer, and therefore all the layers below for which I may be judged are exposed","Those brief moments of flying","Those brief moments of flying","Ditch JnJs",NA
"54","There are no classes in my area","Personalized feedback, more efficient progress","overcoming nausea from head movement",NA,"melty connections, flow states, meeting interesting, open-minded people","There are so many ways to enjoy and grow in this dance!",NA,NA
"55",NA,"improve technique and understanding, practice with an expert partner","finding adequate instruction/information","injury to partner","interactions including touch","dance partners","more recognition of the importance and value of basics and fundamentals",NA
"56","Time of day","looking for errors with are specific to me","opening my body and trust","that Iam not skilled enough","connection between folower and leader","music, people",NA,NA
"57","Cost","Diagnose areas of improvement","Learning new movements","Follow heavy events","Improvement via social dancing and training","Community","More welcoming community",NA
"58","Day of the week","Personalized attention to Body mechanics. The minut changes make a difference","Confidence","Sustaining a neck injury","Connecting with people","The ease I feel when leaving. I feel like a weight had been lifted.","A demo intro class for free",NA
"59",NA,NA,"Don't remember","Arrogant dancers","Trust","The expression","Long discussions, depend also very much the audience",NA
"60","Travel distance (there are instructors I love 2.5-4 hours away but it's too far to drive alone or on a week night)",NA,"As a follow: head movement. As a lead, planning out the movements to match them to the music (not even fully to the level of actual musicality, just figuring out on which down beat to best start longer sequences like a boomerang) -- a year in, I'm working on things like adapting the texture of the dance to the music, and putting accents in the right places. For both, learning the small differences between how different movements are led.","Not finding dance partners at socials","Personal growth, and noticing I'm getting better","The joy of connection and playfulness with dance partners","Having local socials to actually practice socials at (I have to travel for socials)",NA
"61","Day of the week","Ask for specific technical questions, training methods","Small local community, difficulty to travel to international events (from Japan)",NA,"Connected dance, get to know new people from all around the world","Connection, musicality, community","Specific closed course with foundations, slow speed to introduce e.g. head movement.",NA
"62","Time of day",NA,"someone else touching me","getting physically close to the other person","the progress","the community","teacher skills",NA
"63","There are no classes in my area",NA,"Small community, with not too many intermediate / beginner dancers - very intimidating! Combined with a general lack of classes in the area, with most things taught by more experienced dancers who are not ""trained"" instructors.","This used to be making people uncomfortable, but I feel confident in my ability now to generally assess and back off when things aren't going great. Now i mostly worry about investing lots of energy into",NA,NA,"More classes, a larger / more diverse dance background community, culture shift (from JnJ-ish culture of expertise and ego to just enjoying the dance)",NA
"64","Time of day",NA,"Socially, people can be clique-y. Skill level is a factor in how receptive people are to welcoming you to the group. I have danced multiple dance styles prior to zouk, which was a huge advantage. That said, I've still noticed a shift in how I'm treated based on perceived skill
","Social rejection.","Deep connection with others. Feeling ""flow"" while dancing.","Slower, connected movements.","More public transit accessible locations, actual dance studios (not church basements), welcoming environment, easier to coordinate groups for traveling to big events","I'm curious how many people start zouk with no dance background, as most seem to start zouk after dancing other styles. That likely impacts how accessible the dance scene is. It'd also be interesting to see where the overlap is between dance,and if another style might pair well in certain cities for joint events (ex: like salsa and bachata are often paired)."
"65","There are no classes in my area","Correct technique, fix clear errors","Timing and having right technique","Having horrible technique","The connection with a really good dancer","The connection and challenge and growth","More good teachers in smaller communities/cites",NA
"66","Day of the week","Overall assessment, assessment of head movement","""I should have started sooner!""","Social/ dance anxiety, freezeing up, not connecting with dance partner","Letting go, being in my body","Being more comfortable, watching my progress, expanding my dance community","Progressive beginner classes, welcoming socials","Comfort in reaching out to the community with concerns, safety, anxiety"
"67","There are no classes in my area",NA,"Decompiling the dance into true basics, very overlooked in instruction","Boring a partner","The feeling of flight, the appreciation smile","Understanding structure better, noticing progress in my own dance","Community support for new leads","A lot of the questions imply all or nothing zouk.  I dance multiple genres and some decisions are made with that factor in mind.  Distance travelled, community of dancers at a particular venue are also important factors.  Some places/people that go there vibe better than others"
"68",NA,NA,"Being comfortable feeling unskilled, off balance and inadequate and comparing myself to other fantastic dancers on the dance floor.","having a rough lead that injures me.","lovely movement, Connection and musicality, being able to create with my partner in the moment","Its addicting for sure! I think its the warmth and close knit feel of the community created by the instant intimacy and openness of the dance.",NA,NA
"69","Day of the week","refinement of fundamentals","Learning fundamentals","I think being falsely or accused of some kind of (physical) misconduct.","Connection to others","The creative connection","Encourage classes and practices with less head movement","Some ideas: I think broader sampling of motivations for people who do zouk. And instances of meeting people/forming friendships/romantic/sexual connection. Gender correlations. Maybe also ask about dress codes, and rank things that would make it more accessible. 
Ask about outdoor vs indoor socials. International travel for zouk. 
Aspirations to learn other role (lead vs follow) 
thanks for doing this!"
"70",NA,"Improve my following and technique","Finding training partners during the pandemic","Getting injured by a leader who doesn’t know how to control their force","Having musical and technically precise dances with people I like","I’m addicted",NA,NA
"71",NA,NA,"Finding community, feeling like I belonged","Getting injured (a good friend was seriously injured when dancing zouk to the point of hospitalization)","When you have one of those magical dances that lasts forever and you’re just flowing and playing together with your partner.","The highs I feel when social dancing","A mix of budget- friendly ways to learn and participate in zouk, and also regular community members going out of their way to dance with beginners and make them feel comfortable. Also, more established dancers should probably not have marathon dances during local socials when new dancers are just on the sides watching.","I’d be curious to have a future survey on the more “hippie”/“spiritual” side of zouk. Would be interesting to hear people’s thoughts on how zouk is often approached, at least in the US (not sure if similar things happen in Brazil)"
"72",NA,"Fine tuning aesthetics and style","Musicality","Hurting someone (leading into collision)","Nice social dances with new people","Connection during socials","Socials earlier in the evening. People who can afford Zouk often have 8-5 jobs and can’t sacrifice evenings.","Curriculums for advanced dancers are rare but needed in many cities"
